text,sentiment
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=3"">00:03</a> - Apple&#39;s new iPhone 15 is not groundbreaking, but it excels in design and feel.<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=123"">02:03</a> - The new iPhone has a less blue appearance and is very fingerprint resistant.<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=225"">03:45</a> - Higher refresh rate is not a significant factor for most smartphone users<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=327"">05:27</a> - Apple iPhone 15 lacks a higher refresh rate display for perceived performance.<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=433"">07:13</a> - The iPhone 15 Pro and 15 Plus have impressive battery life and USB-C support<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=532"">08:52</a> - iOS 17 update includes Voice Isolation mode, offline areas in Apple Maps, and battery charge limiter<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=636"">10:36</a> - The newest iPhone 15 has a 24 megapixel default camera and a new auto-Portrait Mode detection feature<br><a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=741"">12:21</a> - Upgrade to iPhone 15 for better performance",3 stars
I am currently watching this on my iPhone 15 ,5 stars
Outstanding review thank you ,5 stars
Youre just shitting on the phone the whole vid. I came here to feel good about this phone and its potential. Not just have you trash talk it the whole time KMT,5 stars
just me or the battery not good on these ?,2 stars
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=169"">2:49</a> he just predicted the future randomly",3 stars
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=170"">2:50</a> He predicted the new iphone se bringning back the notch",1 star
"<a href=""https://www.youtube.com/watch?v=0X0Jm8QValY&amp;t=169"">2:49</a> bro predicted iphone 16e",1 star
iPhone is a scam<br>IDK why people are still chasing every new released iPhones.<br>Smh...,1 star
Very rare for me to be impressed by an American commentator. <br>,2 stars
interesting vidio,4 stars
"I got this phone as work phone, sure it works flawless so far,  though im not fan at all of apple.",3 stars
i hope rear camera soon for smartphones is removable like modular for wireless camera,3 stars
iPhone 16 vs 15 which one is value for money?,1 star
Just updated to the iPhone 15,4 stars
"The typical iphone buyer : oh cool, an apple logo....<br>Spends 1yr worth of savings",1 star
I upgraded from a 13 pro to a 15 pro.,5 stars
I switched from a S24 to a Iphone 15. Yes the 60hz screen is worse but its not a dealbreaker. Something that was a dealbreaker though was the extremly bad battery on the S24. Cant understand how reviewers say the battery of the S24 is comparable to the IP15 when its clearly not. Samsung get your shit together.,1 star
I got one of these as a company phone and it blows my mind that my cheap $250 moto has a better OLED screen in comparison. This thing is an eye sore and ill never understand the point of these at this price. Its laggy too. I assume and hope the pro models are much much better. No shade to iPhone fans.,2 stars
Uh,1 star
They should make iPhones with the same kind of screen light they used to use. Its blinding now days,3 stars
Great review bro ,5 stars
My 15 takes forever to charge and dies fast,5 stars
